Top consultas,Cliques,Impressões,CTR,Posição
studio z,63299,466506,13.57%,01.06
stz,4846,35294,13.73%,2.14
studioz,4630,33485,13.83%,1.15
studio z calçados,2342,19191,12.2%,01.04
clube stz,1587,2217,71.58%,1
papete,1565,373904,0.42%,5.12
studio,1405,94035,1.49%,3.15
estudio z,1265,10829,11.68%,1.49
tenis,1048,493623,0.21%,6.61
papete feminina,1035,177666,0.58%,05.02
stz calçados,952,8052,11.82%,1
studio z manaus,892,5600,15.93%,1.16
mocassim feminino,750,189437,0.4%,5.95
sandália feminina,715,127869,0.56%,3.9
tenis casual feminino,592,94979,0.62%,4.85
studio z brasil,562,4644,12.1%,1.63
stz site,508,4411,11.52%,1
clube + stz,393,516,76.16%,1
tenis feminino casual,372,79780,0.47%,5.53
studio z cuiaba,344,3485,9.87%,1.71
clube mais stz,336,443,75.85%,1
loja studio z,315,3730,8.45%,1.76
studio z blumenau,303,3439,8.81%,1.82
studio z shopping da bahia,298,1491,19.99%,01.06
rasteirinha feminina,297,78981,0.38%,6.66
stz.com.br,293,1047,27.98%,1
studio z florianópolis,278,2774,10.02%,1.9
studio z rio de janeiro,269,1377,19.54%,1.91
studio z londrina,265,1626,16.3%,1.72
studio z balneário camboriú,263,3665,7.18%,1.89
tênis feminino casual,255,41103,0.62%,5.38
studio z camboriu,247,2363,10.45%,1.94
site studio z,245,1974,12.41%,1
studiozcalcados,240,2708,8.86%,1.18
stz online,221,1660,13.31%,2.18
sandalia papete,216,39749,0.54%,4.4
studio z curitiba,212,2085,10.17%,1.7
tamanco feminino,197,64072,0.31%,6.78
stz loja,196,1716,11.42%,01.01
sandalia masculina,194,68417,0.28%,7.91
modare ultraconforto,192,28474,0.67%,4.42
sandália modare ultra conforto,192,24672,0.78%,4.21
studio z boa vista,192,1960,9.8%,1.34
studio z campo grande ms,188,1962,9.58%,1.8
scarpin,185,103874,0.18%,10.85
tenis casual masculino,179,52913,0.34%,8.69
studio.z,179,1763,10.15%,1.14
studio z site,174,1139,15.28%,1
sandalias,173,22918,0.75%,7.56
studio z criciuma,173,1605,10.78%,1.19
