Páginas principais,Cliques,Impressões,CTR,Posição
https://www.stz.com.br/,96215,2498846,3.85%,27.52
https://www.stz.com.br/onde-encontrar,11179,947622,1.18%,22.97
https://www.stz.com.br/calcados-femininos,5220,1361382,0.38%,11.8
https://www.stz.com.br/calcados-femininos/papetes,4455,1208114,0.37%,6.63
https://www.stz.com.br/conteudo/institucional/central-de-atendimento,4225,759556,0.56%,2.61
https://www.stz.com.br/clube,3961,33032,11.99%,27.96
https://www.stz.com.br/calcados-femininos/sandalias,2531,1026910,0.25%,13.72
https://www.stz.com.br/tenis/tenis-casual-feminino,2446,1115905,0.22%,11.95
https://www.stz.com.br/marcas/modare-ultraconforto,2265,349171,0.65%,6.66
https://www.stz.com.br/acessorios/bolsas,2221,933620,0.24%,14.9
https://www.stz.com.br/tenis,2063,829944,0.25%,9.47
https://www.stz.com.br/calcados-masculinos,1867,1146375,0.16%,8.19
https://www.stz.com.br/cadastro,1507,59136,2.55%,5.96
https://www.stz.com.br/calcados-femininos/rasteiras,1383,657654,0.21%,10.66
https://www.stz.com.br/calcados-femininos/scarpin,1319,430385,0.31%,12.37
https://www.stz.com.br/marcas/nike,1184,832155,0.14%,9.46
https://www.stz.com.br/marcas/gabriela,1156,117872,0.98%,08.08
https://www.stz.com.br/calcados-femininos/mocassim,1155,319453,0.36%,7.38
https://www.stz.com.br/calcados-femininos/chinelos-e-slides,857,406971,0.21%,11.25
https://www.stz.com.br/calcados-femininos/tamancos,753,232531,0.32%,8.55
https://www.stz.com.br/menina/sandalias,738,181043,0.41%,9.43
https://www.stz.com.br/calcados-femininos/botas,709,237232,0.3%,27.31
https://www.stz.com.br/fale-conosco,681,35913,1.9%,6.4
https://www.stz.com.br/tenis/tenis-casual-masculino,679,577913,0.12%,8.85
https://www.stz.com.br/sobre-nos,639,120696,0.53%,6.57
https://www.stz.com.br/calcados-masculinos/sandalias,622,159933,0.39%,8.41
https://www.stz.com.br/compre-e-retire,613,107634,0.57%,5.28
https://www.stz.com.br/marcas/vertus,564,14757,3.82%,2.39
https://www.stz.com.br/troca-facil,559,15355,3.64%,9.14
https://www.stz.com.br/menina,523,348359,0.15%,8.72
https://www.stz.com.br/marcas/vizzano,498,146635,0.34%,8.14
https://www.stz.com.br/marcas/democrata,482,190415,0.25%,8.85
https://www.stz.com.br/calcados-masculinos/chinelos-e-slides,455,109795,0.41%,9.36
https://www.stz.com.br/conteudo/institucional/central-de-atendimento/regulamento,443,26943,1.64%,7.36
https://www.stz.com.br/tenis/tenis-esportivo-feminino,437,738906,0.06%,14.86
https://www.stz.com.br/calcados-femininos/sapatilhas,428,167089,0.26%,19.76
https://www.stz.com.br/conteudo/ajuda-e-suporte/duvidas-frequentes,399,30357,1.31%,8.36
https://www.stz.com.br/campanha-achadinhos,377,829843,0.05%,9.34
https://www.stz.com.br/marcas/all-star,370,87623,0.42%,14.16
https://www.stz.com.br/marcas/penelope,368,48042,0.77%,8.65
https://www.stz.com.br/cupons-stz,355,39811,0.89%,7.71
https://www.stz.com.br/menino,340,84931,0.4%,10.21
https://www.stz.com.br/marcas/moleca,340,75210,0.45%,8.61
https://www.stz.com.br/marcas/zaxy,329,159340,0.21%,6.83
https://www.stz.com.br/login,310,1056,29.36%,02.04
https://www.stz.com.br/tenis/tenis-esportivo-masculino,307,638907,0.05%,9.55
https://www.stz.com.br/tenis/chuteiras,285,53211,0.54%,10.86
https://www.stz.com.br/menina/tenis-casual,283,94984,0.3%,13.72
https://www.stz.com.br/calcados-femininos/mules,278,88813,0.31%,9.31
https://www.stz.com.br/acessorios/mochilas,274,32297,0.85%,20.67
https://www.stz.com.br/calcados-salto-alto,255,51347,0.5%,13.24
https://www.stz.com.br/marcas/cartago,252,107901,0.23%,8.88
https://www.stz.com.br/marcas/mac-jac,249,5350,4.65%,4.97
https://www.stz.com.br/marcas,248,28973,0.86%,11.09
https://www.stz.com.br/marcas/molekinha,238,61427,0.39%,7.75
https://www.stz.com.br/calcados-masculinos/sapato-social,234,72899,0.32%,12.2
https://www.stz.com.br/marcas/actvitta,232,69456,0.33%,6.98
https://www.stz.com.br/calcados-femininos/slip-on,211,103084,0.2%,8.7
https://www.stz.com.br/marcas/rider,206,142209,0.14%,8.98
https://www.stz.com.br/marcas/olympikus,206,95942,0.21%,11.53
https://www.stz.com.br/menino/papetes,187,46441,0.4%,7.33
https://www.stz.com.br/menina/botas,183,35491,0.52%,11.81
https://www.stz.com.br/campanha-liquida,182,126276,0.14%,08.03
https://www.stz.com.br/marcas/pegada,176,47564,0.37%,8.83
https://www.stz.com.br/campanha-oferta-do-dia,172,14000,1.23%,8.89
https://www.stz.com.br/marcas/via-marte,164,85961,0.19%,10.45
https://www.stz.com.br/campanha-sapato-boneca,163,34481,0.47%,9.55
https://www.stz.com.br/marcas/adidas,162,220389,0.07%,11.1
https://www.stz.com.br/credicard,159,5554,2.86%,9.94
https://www.stz.com.br/marcas/kenner,154,17913,0.86%,16.02
https://www.stz.com.br/marcas/ollie-originals,148,35550,0.42%,07.09
https://www.stz.com.br/marcas/polo-energy,147,18773,0.78%,9.18
https://www.stz.com.br/marcas/woche,141,4332,3.25%,5.54
https://www.stz.com.br/marcas/mizuno,140,49167,0.28%,13.87
https://www.stz.com.br/fortaleza-joquei,135,9159,1.47%,7.16
https://www.stz.com.br/campanha-bolsas,133,9532,1.4%,3.85
https://www.stz.com.br/hotsite/presentes,132,1415,9.33%,16.77
https://www.stz.com.br/calcados-masculinos/slip-on,127,59341,0.21%,9.27
https://www.stz.com.br/marcas/beira-rio,127,42120,0.3%,9.47
https://www.stz.com.br/marcas/kolosh,125,31943,0.39%,9.66
https://www.stz.com.br/marcas/havaianas,124,23087,0.54%,15.85
https://www.stz.com.br/menina/chinelos-slides,121,45248,0.27%,8.66
https://www.stz.com.br/calcados-masculinos/botas,121,42714,0.28%,16.72
https://www.stz.com.br/menino/chuteiras,121,36794,0.33%,10.77
https://www.stz.com.br/marcas/mormaii,119,61572,0.19%,7.53
https://www.stz.com.br/marcas/gabrielinha,119,2797,4.25%,3.67
https://www.stz.com.br/papetes,118,5860,2.01%,11.78
https://www.stz.com.br/acessorios/carteiras,115,13358,0.86%,33.26
https://www.stz.com.br/menino/chinelos-e-slides,114,53349,0.21%,8.44
https://www.stz.com.br/menino/tenis-casual,112,65624,0.17%,12.18
https://www.stz.com.br/recuperarsenha/d9dc3898-a109-4272-bb40-1ffa99f018c8,107,1568,6.82%,9.4
https://www.stz.com.br/sandalia-papete-infantil-disney-stitch-mochila-azul-5198240-p2813221,106,13184,0.8%,4.77
https://www.stz.com.br/calcados-masculinos/sapatenis,103,51281,0.2%,11.48
https://www.stz.com.br/marcas/fila,103,35002,0.29%,15.24
https://www.stz.com.br/tenis-olympikus-ultraleve-esportivo-feminino-preto-5149228-p163317,102,159132,0.06%,4.49
https://www.stz.com.br/marcas/oxn,101,19817,0.51%,5.38
https://www.stz.com.br/campanha-botas-e-coturnos,101,6079,1.66%,9.85
https://www.stz.com.br/marcas/bow-river,98,2025,4.84%,8.86
https://www.stz.com.br/campanha-tenis-masculino,96,6550,1.47%,7.65
https://www.stz.com.br/acessorios/cintos,93,16408,0.57%,27.9
https://www.stz.com.br/calcados-femininos/peep-toe,91,17090,0.53%,9.42
https://www.stz.com.br/acessorios/almofada,86,8749,0.98%,14.58
https://www.stz.com.br/acessorios/bones-e-chapeus,84,24471,0.34%,21.72
https://www.stz.com.br/tenis-nike-downshifter-12-esportivo-feminino-rosa-5189385-p2756636,82,42655,0.19%,6.69
https://www.stz.com.br/bolsa-shopping-bag-grande-gabriela-essenciais-niqueleira-preto-5175693-p2622334,82,26013,0.32%,6.66
https://www.stz.com.br/tenis-mizuno-glow-softierfoam-esportivo-feminino-holografico-branco-5192766-p2784636,82,16318,0.5%,5.39
https://www.stz.com.br/marcas/tchocco,82,6414,1.28%,7.77
https://www.stz.com.br/acessorios/meias,78,22026,0.35%,24.29
https://www.stz.com.br/menina/sapatilhas,72,39457,0.18%,12.32
https://www.stz.com.br/campanha-sandalia-e-tamanco,72,9192,0.78%,5.22
https://www.stz.com.br/campanha-verao,71,12333,0.58%,12.05
https://www.stz.com.br/marcas/bebece,69,20910,0.33%,9.33
https://www.stz.com.br/marcas/cross-road,69,6159,1.12%,07.08
https://www.stz.com.br/tenis-nike-downshifter-12-esportivo-masculino-preto-5189525-p2757617,68,149649,0.05%,4.28
https://www.stz.com.br/bolsa-tote-media-gabriela-essenciais-texturizada-preto-5179574-p2663300,65,57946,0.11%,07.01
https://www.stz.com.br/cartoes,65,1650,3.94%,6.6
https://www.stz.com.br/calcados-masculinos/mocassim,64,33479,0.19%,13
https://www.stz.com.br/tenis-nike-court-vision-mid-cano-alto-masculino-couro-preto-5177869-p2641469,64,25198,0.25%,11.88
https://www.stz.com.br/acessorios/acessorios-para-calcados,63,43087,0.15%,8.8
https://www.stz.com.br/campanha-geral-conforto,63,29712,0.21%,11.72
https://www.stz.com.br/marcas/molekinho,63,21494,0.29%,8.78
https://www.stz.com.br/promo-liquida,63,4368,1.44%,18.24
https://www.stz.com.br/chinelo-gabriela-conforto-flatform-texturizado-verde-5187609-p2738721,62,1940,3.2%,36.66
https://www.stz.com.br/marcas/ipanema,58,14094,0.41%,15.18
https://www.stz.com.br/menina/galochas,58,9569,0.61%,12.35
https://www.stz.com.br/marcas/pimpolho,57,16118,0.35%,9.33
https://www.stz.com.br/bolsa-shopping-gabriela-detalhe-nos-pompom-matelasse-off-white-5194661-p2795292,56,15169,0.37%,8.3
https://www.stz.com.br/campanha-sandalias-flatforms,54,7196,0.75%,11.59
https://www.stz.com.br/tenis-olympikus-intuit-eleva-esportivo-feminino-knit-off-white-5197745-p2813104,54,3183,1.7%,6.32
https://www.stz.com.br/c6,53,21157,0.25%,7.9
https://www.stz.com.br/campanha-feminino-aberto,53,6878,0.77%,9.59
https://www.stz.com.br/marcas/terra-agua,52,6465,0.8%,9.55
https://www.stz.com.br/campanha-feminino-slingback,51,7434,0.69%,13.95
https://www.stz.com.br/tenis-infantil-converse-all-star-chuck-taylor-cano-alto-preto-5087187-p132682,48,53449,0.09%,4.56
https://www.stz.com.br/menino/sandalias,48,24003,0.2%,10.62
https://www.stz.com.br/garrafa-de-aluminio-stz-prata-5170961-p2585032,48,17719,0.27%,2.61
https://www.stz.com.br/campanha-tenis-esportivo,47,52128,0.09%,19.99
https://www.stz.com.br/menino/botas,47,14616,0.32%,10.64
https://www.stz.com.br/campanha-gabriela,47,5401,0.87%,5.12
https://www.stz.com.br/copo-com-canudo-stz-strass-holografico-glitter-prata-5188072-p2742822,47,1958,2.4%,6.66
https://www.stz.com.br/sorteio,46,79237,0.06%,7.87
https://www.stz.com.br/marcas/black-free,46,4958,0.93%,6.22
https://www.stz.com.br/mochila-gabriela-essenciais-texturizado-off-white-5191673-p2778872,46,1830,2.51%,8.94
https://www.stz.com.br/tenis-olympikus-only-2-casual-masculino-preto-5183464-p2702404,45,81980,0.05%,3.26
https://www.stz.com.br/tenis-olympikus-intuit-eleva-esportivo-feminino-knit-preto-5197746-p2813105,45,23673,0.19%,4.21
https://www.stz.com.br/fortaleza-riomar,44,4760,0.92%,8.54
https://www.stz.com.br/credicard-regulamento,43,2787,1.54%,14.56
https://www.stz.com.br/marcas/mississipi,42,39298,0.11%,8.65
https://www.stz.com.br/sandalia-aranha-infantil-stitch-disney-bolsa-clutch-tiracolo-azul-5199395-p2819167,42,9414,0.45%,04.02
https://www.stz.com.br/campanha-scarpins-slingbacks,42,5766,0.73%,6.94
